time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.64341175651556e-08,2.1153418572666073e-07,10.001795337420422,0.0002231765527582752,6.282966293664916,0.0,1.2211302291564778e-05,1.861632440757532e-05,0.059842751769967895,0.010278783884486605,-0.012189256288775468,0.0,424.814248314699,423.76801982281336,423.20202916846824,424.08562193376605
0.12000000000000001,8.35320567948532e-06,8.58827225960342e-06,10.008807828198373,0.0009939979556525813,6.281916005875544,0.0,0.00035296380508037967,0.000333280468909571,0.1738955942368276,0.017543586823552455,-0.031122038968613305,0.0,442.2978340195524,440.7361186484288,440.8733694713214,441.47298649100674
0.18,6.714763939919669e-05,5.6098482052909624e-05,10.024810880729802,0.0018536499379706584,6.279844356143489,0.0,0.0018314504712936418,0.0013610737553055425,0.3594981994554164,0.0069626728540481565,-0.04239596515282712,0.0,464.2772866085836,463.3915801262578,463.2146756140415,462.38188649772053
0.23999999999999996,0.0002522295288546779,0.0001763026904560193,10.048573774751661,0.0017844019194441785,6.277724527425036,0.0,0.004563655070338952,0.0026721867825463272,0.432571926248108,-0.027001513301279992,-0.02401719196148282,0.0,428.71948641852657,430.27730707947734,428.7907645319388,425.89614462857827
0.3,0.0006626928747616625,0.0003719573361133154,10.080724637474395,6.2830572589688884,6.2762673414935914,0.0,0.00928857826140857,0.0036443262848581937,0.6390297005373698,-0.04403512895231575,-0.02483035786721045,0.0,469.8573033779847,469.7942217510754,470.2259894208484,468.9044377951785
0.36000000000000004,0.0013352028575013978,0.0005806691388224711,10.117411847623595,6.280247273078494,6.27460554817338,0.0,0.013252609169718434,0.0030977943806853683,0.5839065496208827,-0.05311386537627409,-0.03415203553437252,0.0,385.11516013149884,384.2322218289571,385.71859072826,384.85866170564776
0.4200000000000001,0.0022989106828074112,0.000700162943597797,10.153599480983313,6.277054950924107,6.272533659468362,0.0,0.019062174920039778,0.0005891375241778704,0.622324469498449,-0.05338893672515704,-0.03530120087301394,0.0,417.9478833293433,417.8471448865489,416.672886453113,416.64677428995697
0.48000000000000015,0.0037177541325340326,0.0005687010314190857,10.198188560074607,6.274307169735787,6.2703817859985485,0.0,0.02849338762802312,-0.005332091032376099,0.863821289548879,-0.0338098647047529,-0.03701550843976753,0.0,479.6746594544073,479.54400539940593,479.9564355978254,481.43874162840245
0.5400000000000001,0.005745485437075563,2.5892285749523892e-05,10.256433823568525,6.272035522961554,6.268181678464048,0.0,0.039357948471757956,-0.013013489895279982,1.0775043453276842,-0.047528763287031824,-0.03598339581022492,0.0,472.62349039263836,472.7024921858168,472.66803378103464,471.6090833416262
0.6000000000000002,0.008440656187244884,-0.0010080774563180647,10.325108968078373,6.269248603772887,6.266308943903599,0.0,0.05069325605125113,-0.02175225530219778,1.2115270738983293,-0.04437214484715744,-0.023062758945510534,0.0,448.23465788737997,449.28297159077295,448.67698452924645,448.9318989124128
0.6600000000000003,0.011780009502248456,-0.0025633175875072614,10.397516969286718,6.267165008163619,6.264768801758249,0.0,0.06074352338336535,-0.030288653599419738,1.2020775318631123,-0.0202773160558928,-0.031469759829994684,0.0,402.1198445853953,401.35742126194594,401.6543763651534,403.83265129429185
0.7200000000000003,0.01587455728496692,-0.004769889020674952,10.475952873060232,6.266112186494478,6.26258054281201,0.0,0.07597491867165074,-0.04339350813543026,1.4122094134387917,-0.0125804479648551,-0.04904462524830211,0.0,472.7761595042609,471.41965304791955,471.7107453838029,472.3047645169481
0.7800000000000004,0.02089561832415008,-0.00775001100038059,10.564908067145911,6.265526796599174,6.259147489459636,0.0,0.09172350280474093,-0.056012528469189575,1.5527737822983096,-0.004634697413216435,-0.08337422510211624,0.0,453.1073453463434,450.33664588761627,451.2298487475686,451.8708963910706
0.8400000000000004,0.027033759386773895,-0.01156063116969227,10.665837614809403,6.264728314342477,6.253779318705202,0.0,0.11351687090227419,-0.07105363520430877,1.8111525464287428,-0.04277681488321246,-0.10586453386737742,0.0,486.8265324043226,485.13472558955385,489.3758406058335,486.52869648453594
0.9000000000000005,0.034441001518948355,-0.016192363774503667,10.776337748223083,6.262648515036586,6.247269738179412,0.0,0.13400621300814292,-0.08355535191019335,1.8720612950486049,-0.022027348138682314,-0.1143441917615226,0.0,427.57010362866475,426.83616725344314,427.3683101303044,429.13247704642254
0.9600000000000005,0.04345666247846485,-0.021751287251195326,10.897245415953916,6.261029937420922,6.24100940685857,0.0,0.1673397545317497,-0.10191828002829414,2.1576604640070616,-0.039382483922307115,-0.08948996860555557,0.0,494.4070568917376,496.22613532158147,496.84989098738083,495.5758184657993
1.0200000000000005,0.05432468092635769,-0.028299831054929895,11.028220472785746,6.258366623435361,6.236131438373803,0.0,0.1954043681763564,-0.11659936517206884,2.2080480148346173,-0.056976685786175506,-0.06857336583587721,0.0,424.89463300121173,426.67811714558246,426.47909896507826,424.9724165123676
1.0800000000000005,0.06719945034514536,-0.03590842979057048,11.167102721709385,6.254873733220034,6.232499432548966,0.0,0.23418878335887788,-0.13741913699746333,2.420895447101428,-0.06081268380366304,-0.047990295379660416,0.0,476.3578600193825,477.9266924018023,475.51797916436135,475.22192980231586
1.1400000000000006,0.0821286902797086,-0.044650461192256054,11.31182606555403,6.2509252262640995,6.229514858229869,0.0,0.26370099497001925,-0.15430182724054795,2.4032256596364463,-0.07835992137652091,-0.05349976421044671,0.0,404.4739530968922,403.97564302015223,404.995101944293,403.40993850846786
